date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:15	68670/68670	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:18%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new9-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new9-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:25	85594/85594	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:18%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new8-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new8-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:29	81886/81886	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:20%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new7-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new7-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:30	138563/138563	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:36:58%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new8-1024x517.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new8-1024x517.jpg	(from http://www.isgd.org/gallery/)
11:09:34	56193/56193	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:20%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new6-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new6-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:42	79440/79440	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:20%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new5-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new5-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:47	77350/77350	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:20%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new4-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new4-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:49	122357/122357	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:32:46%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new4-1024x517.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new4-1024x517.jpg	(from http://www.isgd.org/gallery/)
11:09:52	55484/55484	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:22%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new3-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new3-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:56	56845/56845	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:22%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new1-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new1-800x400.jpg	(from http://www.isgd.org/gallery/)
